Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
05/07/2024,80474,60,1,Eastbound,1,East,7,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,13,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,5,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,3,Checked
05/07/2024,80474,60,2,Westbound,2,West,0,Checked
05/07/2024,80474,60,1,Eastbound,1,East,5,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,4,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,5,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,9,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,6,Checked
05/07/2024,80474,60,2,Westbound,2,West,9,Checked
05/07/2024,80474,60,1,Eastbound,1,East,11,Checked
05/07/2024,80474,60,2,Westbound,2,West,3,Checked
05/07/2024,80474,60,1,Eastbound,1,East,10,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,5,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
05/07/2024,80474,60,1,Eastbound,1,East,2,Checked
05/07/2024,80474,60,2,Westbound,2,West,4,Checked
05/07/2024,80474,60,1,Eastbound,1,East,1,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,0,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,2,Checked
05/07/2024,80474,60,2,Westbound,2,West,1,Checked
05/07/2024,80474,60,1,Eastbound,1,East,0,Checked
05/07/2024,80474,60,2,Westbound,2,West,2,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,2,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,2,Checked
06/07/2024,80474,60,1,Eastbound,1,East,3,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,2,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,4,Checked
06/07/2024,80474,60,2,Westbound,2,West,2,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,0,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,3,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,3,Checked
06/07/2024,80474,60,2,Westbound,2,West,4,Checked
06/07/2024,80474,60,1,Eastbound,1,East,2,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,1,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
06/07/2024,80474,60,1,Eastbound,1,East,1,Checked
06/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,2,Checked
07/07/2024,80474,60,2,Westbound,2,West,1,Checked
07/07/2024,80474,60,1,Eastbound,1,East,4,Checked
07/07/2024,80474,60,2,Westbound,2,West,1,Checked
07/07/2024,80474,60,1,Eastbound,1,East,6,Checked
07/07/2024,80474,60,2,Westbound,2,West,2,Checked
07/07/2024,80474,60,1,Eastbound,1,East,5,Checked
07/07/2024,80474,60,2,Westbound,2,West,2,Checked
07/07/2024,80474,60,1,Eastbound,1,East,3,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,2,Checked
07/07/2024,80474,60,2,Westbound,2,West,4,Checked
07/07/2024,80474,60,1,Eastbound,1,East,1,Checked
07/07/2024,80474,60,2,Westbound,2,West,2,Checked
07/07/2024,80474,60,1,Eastbound,1,East,3,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,3,Checked
07/07/2024,80474,60,2,Westbound,2,West,3,Checked
07/07/2024,80474,60,1,Eastbound,1,East,3,Checked
07/07/2024,80474,60,2,Westbound,2,West,2,Checked
07/07/2024,80474,60,1,Eastbound,1,East,2,Checked
07/07/2024,80474,60,2,Westbound,2,West,2,Checked
07/07/2024,80474,60,1,Eastbound,1,East,2,Checked
07/07/2024,80474,60,2,Westbound,2,West,1,Checked
07/07/2024,80474,60,1,Eastbound,1,East,0,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,2,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
07/07/2024,80474,60,1,Eastbound,1,East,1,Checked
07/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,0,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,0,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,0,Checked
08/07/2024,80474,60,2,Westbound,2,West,1,Checked
08/07/2024,80474,60,1,Eastbound,1,East,0,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,1,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,8,Checked
08/07/2024,80474,60,2,Westbound,2,West,6,Checked
08/07/2024,80474,60,1,Eastbound,1,East,4,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,11,Checked
08/07/2024,80474,60,2,Westbound,2,West,2,Checked
08/07/2024,80474,60,1,Eastbound,1,East,12,Checked
08/07/2024,80474,60,2,Westbound,2,West,2,Checked
08/07/2024,80474,60,1,Eastbound,1,East,7,Checked
08/07/2024,80474,60,2,Westbound,2,West,1,Checked
08/07/2024,80474,60,1,Eastbound,1,East,1,Checked
08/07/2024,80474,60,2,Westbound,2,West,2,Checked
08/07/2024,80474,60,1,Eastbound,1,East,5,Checked
08/07/2024,80474,60,2,Westbound,2,West,3,Checked
08/07/2024,80474,60,1,Eastbound,1,East,2,Checked
08/07/2024,80474,60,2,Westbound,2,West,1,Checked
08/07/2024,80474,60,1,Eastbound,1,East,2,Checked
08/07/2024,80474,60,2,Westbound,2,West,1,Checked
08/07/2024,80474,60,1,Eastbound,1,East,8,Checked
08/07/2024,80474,60,2,Westbound,2,West,4,Checked
08/07/2024,80474,60,1,Eastbound,1,East,8,Checked
08/07/2024,80474,60,2,Westbound,2,West,6,Checked
08/07/2024,80474,60,1,Eastbound,1,East,11,Checked
08/07/2024,80474,60,2,Westbound,2,West,3,Checked
08/07/2024,80474,60,1,Eastbound,1,East,17,Checked
08/07/2024,80474,60,2,Westbound,2,West,10,Checked
08/07/2024,80474,60,1,Eastbound,1,East,6,Checked
08/07/2024,80474,60,2,Westbound,2,West,3,Checked
08/07/2024,80474,60,1,Eastbound,1,East,3,Checked
08/07/2024,80474,60,2,Westbound,2,West,2,Checked
08/07/2024,80474,60,1,Eastbound,1,East,2,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,0,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
08/07/2024,80474,60,1,Eastbound,1,East,1,Checked
08/07/2024,80474,60,2,Westbound,2,West,1,Checked
08/07/2024,80474,60,1,Eastbound,1,East,0,Checked
08/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,1,Checked
09/07/2024,80474,60,2,Westbound,2,West,2,Checked
09/07/2024,80474,60,1,Eastbound,1,East,1,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,1,Checked
09/07/2024,80474,60,2,Westbound,2,West,1,Checked
09/07/2024,80474,60,1,Eastbound,1,East,4,Checked
09/07/2024,80474,60,2,Westbound,2,West,1,Checked
09/07/2024,80474,60,1,Eastbound,1,East,2,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,2,Checked
09/07/2024,80474,60,2,Westbound,2,West,1,Checked
09/07/2024,80474,60,1,Eastbound,1,East,3,Checked
09/07/2024,80474,60,2,Westbound,2,West,2,Checked
09/07/2024,80474,60,1,Eastbound,1,East,2,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,1,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,1,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
09/07/2024,80474,60,1,Eastbound,1,East,5,Checked
09/07/2024,80474,60,2,Westbound,2,West,1,Checked
09/07/2024,80474,60,1,Eastbound,1,East,11,Checked
09/07/2024,80474,60,2,Westbound,2,West,4,Checked
09/07/2024,80474,60,1,Eastbound,1,East,5,Checked
09/07/2024,80474,60,2,Westbound,2,West,1,Checked
09/07/2024,80474,60,1,Eastbound,1,East,1,Checked
09/07/2024,80474,60,2,Westbound,2,West,3,Checked
09/07/2024,80474,60,1,Eastbound,1,East,6,Checked
09/07/2024,80474,60,2,Westbound,2,West,2,Checked
09/07/2024,80474,60,1,Eastbound,1,East,2,Checked
09/07/2024,80474,60,2,Westbound,2,West,2,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,2,Checked
09/07/2024,80474,60,1,Eastbound,1,East,0,Checked
09/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,0,Checked
10/07/2024,80474,60,2,Westbound,2,West,2,Checked
10/07/2024,80474,60,1,Eastbound,1,East,1,Checked
10/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,0,Checked
10/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,0,Checked
10/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,2,Checked
10/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,7,Checked
10/07/2024,80474,60,2,Westbound,2,West,4,Checked
10/07/2024,80474,60,1,Eastbound,1,East,6,Checked
10/07/2024,80474,60,2,Westbound,2,West,1,Checked
10/07/2024,80474,60,1,Eastbound,1,East,8,Checked
10/07/2024,80474,60,2,Westbound,2,West,2,Checked
10/07/2024,80474,60,1,Eastbound,1,East,13,Checked
10/07/2024,80474,60,2,Westbound,2,West,4,Checked
10/07/2024,80474,60,1,Eastbound,1,East,3,Checked
10/07/2024,80474,60,2,Westbound,2,West,1,Checked
10/07/2024,80474,60,1,Eastbound,1,East,3,Checked
10/07/2024,80474,60,2,Westbound,2,West,1,Checked
10/07/2024,80474,60,1,Eastbound,1,East,5,Checked
10/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,4,Checked
10/07/2024,80474,60,2,Westbound,2,West,0,Checked
10/07/2024,80474,60,1,Eastbound,1,East,5,Checked
10/07/2024,80474,60,2,Westbound,2,West,1,Checked
10/07/2024,80474,60,1,Eastbound,1,East,7,Checked
10/07/2024,80474,60,2,Westbound,2,West,3,Checked
10/07/2024,80474,60,1,Eastbound,1,East,7,Checked
10/07/2024,80474,60,2,Westbound,2,West,13,Checked
10/07/2024,80474,60,1,Eastbound,1,East,16,Checked
10/07/2024,80474,60,2,Westbound,2,West,4,Checked
10/07/2024,80474,60,1,Eastbound,1,East,11,Checked
10/07/2024,80474,60,2,Westbound,2,West,2,Checked
10/07/2024,80474,60,1,Eastbound,1,East,4,Checked
10/07/2024,80474,60,2,Westbound,2,West,2,Checked
10/07/2024,80474,60,1,Eastbound,1,East,4,Checked
